Provincia,Partido,Localidad,Otras Velocidades,Hasta 512 Kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Adsl,Cablemodem,Dial Up,Fibra Optica,Otras Tecnologias,Satelital,Wimax,Wireless,Población,Latitud,Longitud
Buenos Aires,25 De Mayo,25 De Mayo,0.0,2.0,19.0,424.0,476.0,4975.0,262.0,50.0,874,4542,0,3,0,852,0,706,23408,-35.4339385892588,-60.1731209454056
Buenos Aires,25 De Mayo,Del Valle,0.0,1.0,0.0,181.0,10.0,0.0,0.0,0.0,181,0,0,0,10,1,0,0,899,-35.8973453887603,-60.7316089512944
Buenos Aires,25 De Mayo,Ernestina,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,66,0,0,0,0,0,0,0,145,-35.2702340519789,-59.5575034078873
Buenos Aires,25 De Mayo,Gobernador Ugarte,0.0,0.0,0.0,175.0,5.0,0.0,0.0,1.0,0,0,0,0,0,0,0,181,547,-35.1643973648093,-60.0813577815069
Buenos Aires,25 De Mayo,Lucas Monteverde,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6,63,-35.4838272164734,-59.9880647932831
Buenos Aires,25 De Mayo,Norberto De La Riestra,0.0,0.0,0.0,1105.0,1.0,141.0,34.0,1.0,0,782,0,6,167,0,0,327,4524,-35.2727788695321,-59.7719327250509
Buenos Aires,25 De Mayo,Pedernales,0.0,0.0,0.0,570.0,2.0,3.0,0.0,0.0,568,0,0,0,0,0,0,7,1432,-35.2666085074294,-59.6306574695384
Buenos Aires,9 De Julio,12 De Octubre,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,19,219,-35.607730780146,-60.9182929927645
Buenos Aires,9 De Julio,9 De Julio,10206.0,0.0,9.0,466.0,370.0,136.0,4.0,3337.0,4313,3354,82,6228,83,1,0,831,36494,-35.4447435053964,-60.8843433362719
Buenos Aires,9 De Julio,Dudignac,0.0,0.0,0.0,326.0,52.0,0.0,0.0,0.0,0,0,1,0,0,0,0,463,2670,-35.6511928511123,-60.7098962799094
Buenos Aires,9 De Julio,Patricios,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0,0,0,0,0,0,0,745,-35.4395526972374,-60.7174384712323
Buenos Aires,Adolfo Alsina,Carhué,0.0,0.0,0.0,813.0,139.0,1231.0,1.0,299.0,780,0,1,1417,1,0,0,283,9660,-37.1774801030509,-62.7578962604015
Buenos Aires,Adolfo Alsina,Colonia San Miguel Arcángel,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0,0,0,208,0,0,0,0,563,-37.4486186469627,-63.117609405389
Buenos Aires,Adolfo Alsina,Esteban Agustín Gascón,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0,0,0,60,0,0,0,0,104,-37.4544378016288,-63.2565950033782
Buenos Aires,Adolfo Alsina,Maza,10.0,2.0,0.0,386.0,6.0,2.0,0.0,0.0,0,0,0,390,0,2,0,14,1748,-36.7999468137731,-63.3385151506224
Buenos Aires,Adolfo Alsina,Rivera,0.0,0.0,0.0,0.0,1155.0,23.0,24.0,0.0,0,0,0,1202,0,0,0,0,3217,-37.1583546113813,-63.2442194943605
